lat,long,id,id_place,name,type
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.556965,-74.20912299999999,43e888f52585474da2c3b7885fe637f212bda2ef,ChIJPyEzqy9LwokRNkRpN6NXJoU,Family Fruit,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55142110000001,-74.21254929999999,531b67d7b566b43eb0040cfd860cfdebcbab70fb,ChIJbR6BiClLwokRD4Xp-t9s8_0,Mignosi's Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.54955280000001,-74.15160279999999,fdc22bfb5b88132d8fbb1c4370013022abf48845,ChIJMydMEbdLwokRuhjDBM3_wdc,Top Tomato Superstore,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5448014,-74.16585660000001,8828a85fed7338cbe1f1839d2f236029db1756be,ChIJJVx0ZqtLwokRcvBw-IBihsI,Freddies Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5541815,-74.1441206,485d58c4c26d96e1b36a7f36006bd81b5c9b8ea7,ChIJicoh2sZLwokRd2qHbtTc-DU,SuperFresh,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5542678,-74.1439449,7e86c031b424e31898dc21b18d61ed080b67ec13,ChIJ-yZp0MZLwokRChL-sJKDRio,Superfresh Supermarkets,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.54955280000001,-74.15160279999999,fdc22bfb5b88132d8fbb1c4370013022abf48845,ChIJMydMEbdLwokRuhjDBM3_wdc,Top Tomato Superstore,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5448014,-74.16585660000001,8828a85fed7338cbe1f1839d2f236029db1756be,ChIJJVx0ZqtLwokRcvBw-IBihsI,Freddies Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5541815,-74.1441206,485d58c4c26d96e1b36a7f36006bd81b5c9b8ea7,ChIJicoh2sZLwokRd2qHbtTc-DU,SuperFresh,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5644775,-74.1333063,b887017f9d574c2d94c8749fc95325c871e76cd9,ChIJx3T0K-RLwokRTMuUF8KDLt0,Netcost Market,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5542678,-74.1439449,7e86c031b424e31898dc21b18d61ed080b67ec13,ChIJ-yZp0MZLwokRChL-sJKDRio,Superfresh Supermarkets,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.54955280000001,-74.15160279999999,fdc22bfb5b88132d8fbb1c4370013022abf48845,ChIJMydMEbdLwokRuhjDBM3_wdc,Top Tomato Superstore,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5541815,-74.1441206,485d58c4c26d96e1b36a7f36006bd81b5c9b8ea7,ChIJicoh2sZLwokRd2qHbtTc-DU,SuperFresh,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5644775,-74.1333063,b887017f9d574c2d94c8749fc95325c871e76cd9,ChIJx3T0K-RLwokRTMuUF8KDLt0,Netcost Market,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5542678,-74.1439449,7e86c031b424e31898dc21b18d61ed080b67ec13,ChIJ-yZp0MZLwokRChL-sJKDRio,Superfresh Supermarkets,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5644775,-74.1333063,b887017f9d574c2d94c8749fc95325c871e76cd9,ChIJx3T0K-RLwokRTMuUF8KDLt0,Netcost Market,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5614151,-73.9124215,7d408b2fc08d4ec3650e3d949064184c512b51e8,ChIJiyFazP9DwokRnZWUF3WkNwY,Deirdre Maeve's Supermarket,"supermarket, atm, grocery_or_supermarket, finance, food, point_of_interest, store, establishment"
40.5614151,-73.9124215,7d408b2fc08d4ec3650e3d949064184c512b51e8,ChIJiyFazP9DwokRnZWUF3WkNwY,Deirdre Maeve's Supermarket,"supermarket, atm, grocery_or_supermarket, finance, food, point_of_interest, store, establishment"
40.5603553,-74.2645787,f51b0778d38039e0fe1584e2f16730d34e270561,ChIJRdSfFOa1w4kRW5NEVoMqcJA,Z Market,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5760508,-74.269634,6c226da4062df78667dd6a2a5ee644fc868bbc4d,ChIJWzn8a160w4kRNix4Vz77TmM,Avenel Supermarket,"supermarket, convenience_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.556965,-74.20912299999999,43e888f52585474da2c3b7885fe637f212bda2ef,ChIJPyEzqy9LwokRNkRpN6NXJoU,Family Fruit,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55142110000001,-74.21254929999999,531b67d7b566b43eb0040cfd860cfdebcbab70fb,ChIJbR6BiClLwokRD4Xp-t9s8_0,Mignosi's Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.556965,-74.20912299999999,43e888f52585474da2c3b7885fe637f212bda2ef,ChIJPyEzqy9LwokRNkRpN6NXJoU,Family Fruit,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55142110000001,-74.21254929999999,531b67d7b566b43eb0040cfd860cfdebcbab70fb,ChIJbR6BiClLwokRD4Xp-t9s8_0,Mignosi's Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.556965,-74.20912299999999,43e888f52585474da2c3b7885fe637f212bda2ef,ChIJPyEzqy9LwokRNkRpN6NXJoU,Family Fruit,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
