OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt
1263,36081018401,QN,11654.759809999999561,8469.342451000000437,1716.594352000000072,595.667933100000027,10097.706990000000587,624.080883699999958,16361.214930000000095,102,13.377450980000001,11.218892370000001,5.360288615000000,67.505043639999997,0.002472458000000,0.031137013000000,71.560000000000002,61.909090909090907,500.197939609384264,0.000000000000000,0.006150563144022,0.008640761176745,0.004594964673743,0.000000000000000,0.000000000000000,0.056494288974338,699.510617210776331,0.061219873113765,6943.728345414618161,2054040.303544392110780,1263
1264,36081018402,QN,10312.479020000000673,8270.660237000000052,1928.005713000000014,851.951493600000049,8812.988796999999977,1880.191109000000097,15097.532979999999952,121,9.936363635999999,2.793743009000000,5.213411815000000,67.999610329999996,0.002280583000000,0.029746111000000,74.359999999999999,64.909090909090907,758.029368096133226,0.000000000000000,0.007177853072062,0.008656076504849,0.006539318291470,0.000000000000000,0.000000000000000,0.054704038891941,1967.596688775319308,0.062926743593481,7150.593888448807775,2287905.797230260446668,1264
1265,36081023600,QN,3519.775265000000218,1749.684661000000006,526.271387600000025,1472.969207000000097,459.524811100000022,880.125001500000053,7322.241755000000012,101,11.755445540000000,4.650816600000000,12.893814880000001,106.353013500000003,0.004031837000000,0.033256102000000,82.530000000000001,34.818181818181820,824.508206392446027,0.001092544615468,0.007823089071150,0.015194721652993,0.028598314151168,0.033273846177118,0.002926774688863,0.020346736535430,1351.956686705859966,0.016697313636541,5717.555909775644068,1897473.670223195804283,1265
1266,36081023800,QN,2446.931156999999985,1035.484805000000051,146.132953700000002,2436.539724000000206,502.887194500000021,1009.768575000000055,6664.400243000000046,100,10.157999999999999,3.113125683000000,12.599158900000001,156.145148500000005,0.002656369000000,0.032921178000000,91.060000000000002,40.454545454545453,554.358074274628166,0.001046285629855,0.006854448201401,0.011042881291360,0.028285486889737,0.032894148025662,0.002617553080199,0.022416590480134,1503.914258232290877,0.027250082542499,5362.847541979065682,1686741.553064305568114,1266
1267,36081042600,QN,10834.151809999999386,848.763009200000056,1436.422250999999960,2083.180778999999802,9454.303359999999884,129.138706600000006,12958.719300000000658,415,12.546506020000001,8.896665558000000,1.506291786000000,17.367757260000001,0.003086663000000,0.035589667000000,,77.000000000000000,2341.149483270115525,0.000000000000000,0.004000624120679,0.007592890009453,0.006921268888705,0.000000000000000,0.001320168116680,0.054528320208192,622.785080338987882,0.077535581977471,10030.461896489723586,5575802.098514239303768,1267
1268,36081043200,QN,9231.116455999999744,1601.124686000000111,924.500314000000003,1502.976652000000058,8029.801314000000275,371.575121799999977,12002.102929999999105,204,16.361764709999999,16.784619660000001,4.018810565000000,46.337207210000003,0.003086644000000,0.035589253000000,48.570000000000000,58.181818181818180,874.747562661596703,0.000000000000000,0.005597155696402,0.009242364112288,0.006213129911986,0.000000000000000,0.001202519668732,0.054410345479846,1037.069785448183438,0.075698484480381,9411.957117717385700,2600532.498108435422182,1268
1269,36081095400,QN,12956.136019999999917,782.478789600000027,955.547477999999956,13780.023010000000795,1013.539029000000028,1245.186993999999913,40794.766730000003008,617,10.111021070000000,5.789018525000000,30.551393740000002,235.637299600000006,0.005273847000000,0.040676213000000,94.650000000000006,66.909090909090907,2995.291999222596132,0.000000000000000,0.001840595530978,0.000999499970021,0.003984999031361,0.007748373660434,0.002414898775896,0.082745951949619,1336.614607415718410,0.113656949139003,18121.294302651003818,8742763.328454306349158,1269
1270,36005035900,BX,5181.579547000000275,5181.579547000000275,609.167415399999982,153.436450900000011,945.637636300000054,1008.975967999999966,1008.975967999999966,181,18.434806630000001,15.031321139999999,4.416086339000000,66.106452759999996,0.002235993000000,0.033471622000000,97.659999999999997,67.454545454545453,540.666323605001367,0.000016129166909,0.006874731741846,0.008694761618972,0.022810820862651,0.014514092355967,0.000016129166909,0.181058603525162,1391.693267463385382,0.256163510183493,5538.115903271367642,1452807.493938860949129,1270
1271,36005036100,BX,5069.261582000000089,5069.261582000000089,716.060752200000024,1287.028223999999909,762.721016299999974,465.944993000000011,465.944993000000011,218,12.989908260000000,6.058614539000000,12.401737450000001,185.647382800000003,0.002235756000000,0.033468070000000,97.969999999999999,73.636363636363640,583.110501317807689,0.000019551980159,0.005879623757210,0.007466875540558,0.019762657117099,0.013553027762100,0.000019551980159,0.194973072037101,636.667615529289719,0.275708573205130,5701.061645341265830,1760194.005350596504286,1271
1272,36081010800,QN,6119.565467999999782,5610.700780000000123,319.310599500000023,9928.992148999999699,1618.399957999999970,1228.296104000000014,5506.432319999999891,73,8.805479452000000,2.617722208000000,6.947424015000000,95.649888200000007,0.002014914000000,0.027740687000000,74.019999999999996,43.454545454545453,1250.076696998642547,0.000000000000000,0.012083098558443,0.003566779661924,0.021683142121349,0.013120397459716,0.000000000000000,0.038266597626110,1333.489867218901963,0.117419241368771,6002.666708761782502,1696627.413214145461097,1272
