OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt,CaseDensity
1562,36061028300,MN,6816.803447,1693.541435,503.1561104,3069.067626,1064.977062,330.6308438,10523.39683,123,13.10487805,6.835489041,21.23833739,241.0618384,0.002729513,79.83,38.90909090909091,556.1174577956016,0,0.015537908417173,0.003460356865876,0.03692934801802,0.020637029781938,0.002381103213078,0.141951001116208,1059.9682203712598,0.130899322884423,6138.387370947945,1624334.5041034562,1562,0.03098083002184809
1563,36061028500,MN,5985.878407,2395.631352,428.4898327,2648.612025,779.8248014,620.7138679,10908.28895,73,14.57260274,4.632861495,21.82728705,247.7432138,0.002729434,92.75999999999999,43,430.8380129493316,0,0.015072569996119,0.003530746838078,0.034912192076445,0.023891158401966,0.001742307608947,0.143225213885307,353.24147417704097,0.129447150230408,5111.397969289847,1313233.113504101,1563,0.030979519044641742
1564,36047036200,BK,2927.04401,1238.593612,303.9571506,6822.189364,752.2473083,1006.196439,26753.53956,118,8.181355932,3.518666928,12.44917783,102.7466683,0.003783945,87.74,55.54545454545455,278.436215918394,0.00139902036504,0.02235371619463,0.001354574674873,0.035627406090498,0.022706094064883,0.001298873618777,0.029005840154631,718.8301787219065,0.027902818950159,6480.707013190622,1845171.5288825787,1564,0.03122999036474164
1565,36047073000,BK,4541.786222,9239.802605,552.2451156,5746.911667,5475.792114,1656.698594,13798.35971,118,8.772881356,3.494749689,4.745273586,63.84329819,0.00206137,41.24,56.09090909090909,1183.8136539980726,1.16751022688e-4,0.00688363133337,0.003166916198097,0.012787000699477,5.50162531e-6,0,0.035969613740842,1140.6828739775879,0.098933523254735,7789.804976753656,1987960.6505836716,1565,0.02773383935273675
1566,36047073600,BK,2771.780144,7936.200729,631.323596,6380.369357,4574.308499,943.6588444,13426.54489,113,8.375221239,3.755603693,7.339092928,101.5362723,0.002110147,71.54,50.90909090909091,770.491676056009,7.16248763638e-4,0.007632326024274,0.004230376565829,0.013090248374889,0.001082542625227,0,0.025580500485376,1814.120709672848,0.129321216472558,5804.072832913516,1918984.2502820822,1566,0.029193867826336973
1567,36061016002,MN,956.6006729,2264.84945,180.1775606,3132.095276,1082.449344,550.2145597,550.2145597,66,13.26515152,6.700022788,9.633903496,95.89069414,0.002695552,24.38,27.545454545454547,2513.483377830149,0.003282598336227,0.006220641856392,0.004922494990751,0.028825569277008,0.023639157414436,9.96613875031e-4,0.289995580911636,1055.5918240452354,0.298696428537369,3121.610390856872,554061.7813637818,1567,0.026830076703973138
1568,36047072600,BK,5591.682996,7169.423845,1529.977474,3330.149011,3796.119855,1099.646638,11374.33614,129,9.698449612,3.460558673,4.830061865,65.70957114,0.00214574,49.669999999999995,50.54545454545455,1683.3682509920077,2.48566229e-6,0.003931130801972,0.004757469943301,0.011669498581726,0.002500925832216,0,0.020423990589651,1217.2906123274627,0.031763611733913,7156.178237052941,2962944.1298186732,1568,0.029191279937805417
1569,36047073200,BK,4239.826828,8022.329281,1641.485919,4966.193795,4262.41748,1370.469859,12644.69064,87,9.9689655170000009,4.504966519,4.940078226,67.87397163,0.002097698,61.12,53.27272727272727,446.3352007204268,1.55715215669e-4,0.005975227337331,0.004248773329891,0.012224638524155,0.001495249558502,0,0.024851891212165,1183.1878609302364,0.071464591659606,5434.605942710335,1722432.812603223,1569,0.028821219375796178
1570,36061018600,MN,2766.04652,1982.901802,588.8791327,1218.110729,585.625414,185.1507492,687.5946273,176,20.25852273,8.150403046,9.503666306,156.5098662,0.00128776,99.46000000000001,66.9090909090909,643.4407224803509,0.001599922170863,0.010265673045069,0.025642839074135,0.033516299600403,0.029193131998181,0.002732615079731,0.15836628973484,1524.29110042654,0.183560008804003,4621.7408420203,1311722.3436660978,1570,0.021207298943089432
1571,36047069602,BK,9678.69306,7259.119184,2342.607078,9555.671481,8380.642405,557.5368959,18582.856,394,8.461167513,4.815717445,12.67374487,170.513598,0.002054758,28.46,50.63636363636363,1879.8494347693015,0,0.004137304880464,8.843953987e-6,0.007255316326587,0,0,0.094266633833608,323.56367240649126,0.127909431699663,17790.168064747428,7888478.18422914,1571,0.027644876459143968
1572,36047070000,BK,10049.88226,8549.945987,1496.998998,11030.03294,9790.049733,1083.246196,19985.02215,122,8.331967213,3.591525066,3.331173951,44.81788626,0.00206137,26,61,1272.5220893211995,0,0.002660845147653,0,0.005490966063614,0,0,0.101862486037943,625.87625934462,0.136239546868536,6151.505924462209,2177086.0518130115,1572,0.027733840507425743
1573,36085002100,SI,2884.937307,2824.258722,927.2115686,401.917812,13851.15493,2338.781398,22509.70189,747,10.17563588,6.833280468,16.34799556,151.671017,0.004025608,87.41,51.27272727272727,624.6429284825708,7.14158158631e-4,0.004293043073267,0.014243469999305,0.005729998846073,0.003746800144602,0.001992136298213,0.019351673099611,1163.429495926928,0.019730131494234,22210.707146860113,9417086.178216571,1573,0.0373481942871214
1574,36061012200,MN,2809.871781,3832.048531,1220.679459,1641.03451,1140.729777,530.9132119,530.9132119,149,11.32080537,4.522231498,2.844131598,38.77413976,0.001114035,15.5,50.45454545454545,1697.0156607955382,0.001945972006069,0.007120325753931,0.00525686662877,0.03074832377024,0.067060755100101,6.07591322478e-4,0.19408543035388,1327.3681026310833,0.192291896258082,5683.168072618904,1857829.5271305405,1574,0.015187677148452799
1575,36005023502,BX,3297.53605,1525.254647,493.0865332,1077.697036,453.0519869,489.3990877,3252.504571,98,12.47653061,5.090780043,10.685793,145.5934476,0.00255641,98.42,72.45454545454545,787.1605517778447,9.02572961058e-4,0.007743799011223,0.019756359234452,0.037401459179819,0.027197215333581,0.001652889070101,0.124890427291393,2800.3838412070313,0.128881196677685,5964.067663242845,1024066.8339558238,1575,0.03483096832535885
1576,36005038100,BX,2887.014694,2208.143559,847.5520976,1235.030781,1276.394313,563.01596,3389.844575,214,13.28364486,7.104271266,17.66299955,240.6467945,0.00255652,96.66,54.18181818181818,927.6035208994824,9.86267395395e-4,0.007605229637453,0.020725866158803,0.038112834095955,0.025054120148222,0.001837875344791,0.137038265665372,742.1818680498741,0.143592458963394,6807.601557328858,1629687.8903921002,1576,0.03483091540020263
1577,36081038301,QN,6666.099986,4687.043946,2161.939649,5138.280252,2502.692957,1067.104152,1067.104152,163,11.81288344,4.185397119,0,0,NA,NA,NA,2067.037319515759,0,0.006264944650376,0.001037665875629,0.019859748910396,0.008697437066585,3.81947737769e-4,0.134332440793514,1017.0542862250791,0.238712978477661,10192.663124544879,6410428.361818591,1577,NaN
1578,36047114201,BK,9602.243825,878.9109091,1508.664118,1618.44178,688.7925676,688.3722078,1907.6419760000001,174,9.354022989,4.046272947,4.026932361,45.5867841,0.002368784,90.83,66.45454545454545,2506.986381045959,0,0.002889743016567,0.008702970076618,0.009196606270658,0.018773900744106,0.001146646894215,0.060692222256746003,2495.6657415434534,0.059664973723037,10545.14668135246,3223020.3926848085,1578,0.026815755352941176
1579,36081118900,QN,869.5188309,2860.737579,755.6701957,12799.08216,4954.970804,1720.142171,5767.345694,107,10.04579439,2.547632285,4.659592122,44.52499139,0.002160219,46.72,32.36363636363637,2581.0933795573364,0.001435575579914,0.005076704139356,0.004472236769895,0.017602906678803,6.52471966406e-4,0.001691410473237,0.107066405316194,807.4448873025351,0.308357056230307,6002.4476686436665,2178097.783018277,1579,0.020642091511358367
1580,36081120100,QN,928.5897337,2830.31894,959.7165548,12442.38202,4999.396916,1135.903001,5129.338253,97,9.013402062,2.80136235,3.346178818,31.9745976,0.002160219,69.19,49.90909090909091,1522.8654581989051,0.001698956392439,0.003558105996086,0.004461016938356,0.015182610497706,6.64606412775e-4,0.001085165796602,0.127725690603256,1888.2976248207558,0.354301787085003,6506.485640703041,1753647.1293683436,1580,0.02064209012265978
1581,36085000300,SI,6837.830813,4300.81172,988.9063587,345.9586015,14453.13674,1317.549021,25882.95572,252,11.09642857,5.734472117,5.031675491,65.5517996,0.002558045,60.56,41,1265.0440163801725,0,0.00269121359775,0.005123390259946,0.007357274466712,0.003685867711384,2.63548370539e-4,0.015726214016063,1309.7208882814011,0.016477353816085,16914.40453560185,4119893.7910265177,1581,0.03332577508896797
1582,36005029301,BX,3849.833772,867.4822377,1594.799455,7125.749537,4142.096596,143.1348249,6354.927368,111,8.691891892,3.828057545,6.003714576,65.59980129,0.003259346,31.97,65.0909090909091,1687.831662689601,2.59624905266e-4,0.003039577425542,1.08589475349e-4,0.005354365312748,0.00114925439193,0.00522656114772,0.108735854923725,1491.9542100259648,0.123910419642925,8860.140266591572,2678122.023639226,1582,0.03561335574918567
1583,36061018300,MN,5045.72726,2345.9253,868.9647138,1316.223931,717.8862998,383.050656,2941.370604,362,15.26546961,6.253986733,13.86459254,132.2571286,0.001907097,47.43,31.09090909090909,665.5739940245212,1.7576279513e-5,0.0073571725645,0.006232276144955,0.019901773788863,0.023461434783207,0.001654118144264,0.242619741294119,325.8324384241742,0.249655422568321,6592.535576307933,2391021.074352488,1583,0.01819217724896836
1584,36061015002,MN,3198.550903,2977.32289,110.8035808,2611.138126,1218.652276,547.8406777,547.8406777,124,11.25483871,4.99589026,3.515376516,63.94786107,7.03216e-4,18.38,46.81818181818182,307.76195337954346,0.002061154739931,0.009316892549396,0.003255997924134,0.03005852624774,0.030784153193235,8.36189743131e-4,0.325889027118683,1452.0165588491725,0.31935470700264,4689.906441573316,1352304.0720555573,1584,0.012792130640128026
1585,36061016001,MN,1877.440215,3190.57099,42.55350484,3850.204523,1177.778226,547.4983493,547.4983493,112,10.78303571,3.201713741,2.589170844,47.72594844,6.89526e-4,8.260000000000002,37.54545454545455,1632.3144077484885,0.00265017026104,0.007206388438741,0.003641035174951,0.028768848006924,0.025735696405172,8.39331257157e-4,0.314094853401184,2149.5564480987905,0.310391853253047,4702.173848323455,1352632.3651102576,1585,0.012709972953395474
1586,36061007900,MN,2105.708152,3889.386437,1184.175853,2216.159229,1603.187,126.3241963,12739.19735,359,14.15013928,7.425600721,4.147548393,58.35179439,9.47145e-4,22.68,32.63636363636363,1618.5935171721399,0.001058960527492,0.005312926135957,0.005953277713464,0.020597757616391,0.048232911154628,3.72436943508e-4,0.010714564394827,1253.112193216722,0.010554205315808,10023.050457033973,2945304.642948171,1586,0.013325369808175383
1587,36061016900,MN,5279.485263,2631.326347,476.3518215,1976.006325,1210.107116,948.0513435,948.0513435,100,13.621,4.863080767,7.596456985,91.4613421,9.02406e-4,25.929999999999996,31.272727272727273,380.161202546641,2.5395734827e-5,0.007908821047749,0.00444122828776,0.025105618173257,0.031207144260406,8.02628906968e-4,0.335226077586412,968.534814420822,0.310886926949024,5751.661833881252,1937088.171524073,1587,0.010864972927061059
1588,36061015900,MN,3697.636579,4248.540883,573.4103565,434.4097939,837.5546037,449.0627542,2722.335793,177,15.52033898,6.023093238,7.811806606,109.6858403,8.36203e-4,19.11,34.63636363636363,749.2067939673534,0.00036431206431800003,0.00970521926259,0.005630756395736,0.02302815237393,0.025007530381637,1.96147351484e-4,0.21327882366521,1300.8530047275453,0.171369664371014,6435.6099640117745,1867947.6554110618,1588,0.011741151819738813
1589,36061017401,MN,2005.279527,786.5663564,373.2064547,371.8584888,1198.420646,260.0125198,545.4712522,126,14.24047619,4.757783998,12.31086144,122.527924,0.002696203,97.47,74.63636363636364,618.4536322559214,0.002256805232416,0.00853895326145,0.017154921156665,0.03484174888581,0.02436660664777,0.002064310247079,0.203287368019422,851.3527257675319,0.222271483391523,4175.330557821209,1086203.843207052,1589,0.026834849759088918
1590,36047118000,BK,12288.303,7442.437525,2562.779159,5063.961124,1216.048259,1521.658147,1760.780009,666,8.149099099,6.397669272,0,0,NA,NA,NA,3069.191293991779,0,0.003690899755325,0.002665298836826,0.005434362728509,0.008693257291966,3.6019913403e-5,0.075669461313416,375.50616488488635,0.138235403507045,15883.405720392135,8099699.5398283545,1590,NaN
1591,36005028100,BX,2804.397797,618.0865552,806.8615396,6641.738585,2230.876268,393.0013896,393.0013896,96,11.0125,5.792613264,13.8126891,150.9301965,0.003260786,77.25999999999999,71.72727272727273,727.4208306568594,0.001753525121603,0.00535047131901,9.17990895687e-4,0.014444162137806,0.012417585030198,0.003313291445374,0.264948576688766,2754.104274455454,0.33887574672699,5578.448137215243,1388488.5315488104,1591,0.03563035800283286
1592,36061017000,MN,2266.207943,2658.564005,202.8020969,2645.38746,1480.384988,392.2731274,2811.034965,116,15.39741379,7.891420341,20.69989589,206.0225487,0.002696352,89.34,62.45454545454545,218.1303677890142,0.002727133483859,0.008093165034162,0.011417920992244,0.034224341756531,0.01634067168925,0.001000513839244,0.187824370339513,1453.5932306112268,0.202301519257682,5617.781748718369,1969157.8805414655,1592,0.026836335638921453
1593,36061016600,MN,1281.590051,1750.432067,610.963887,2346.722044,513.6630105,282.9719093,1569.839365,145,12.68,7.083829394,18.19228827,181.0647559,0.002696352,84.38,30.90909090909091,1324.9430168599054,0.003555693497349,0.007459596213367,0.007865599622684,0.034958905229966,0.021800246355789,0.001172163972764,0.247630006500653,606.6994331838744,0.254285344853997,5725.411401618861,1872055.653886769,1593,0.026836335541722246
1594,36061017200,MN,2459.847085,1621.489091,464.7733713,1338.204905,499.3881382,562.8701345,1565.171448,196,14.14795918,5.833602565,15.59300251,155.1945061,0.002696352,90.52,40,402.3873102386645,0.002538692762351,0.009308446664363,0.016954338902401,0.038313442841172,0.021461153816846,0.001853684726585,0.187281851967176,353.4915609286297,0.203379245474935,5797.263902878948,1912754.6748437046,1594,0.026836331679059314
1595,36061024500,MN,1559.713248,2874.802387,135.6721689,684.6897391,649.92947590000006,1315.881103,11353.02554,206,15.61067961,4.796002657,40.71511517,428.3230115,0.00263426,89.98,44.18181818181818,308.45538885196623,0.0012059769231,0.010271241211078,0.008134198168086,0.033102382651784,0.028329567362865,9.64986781279e-4,0.101085939341121,672.9917141749668,0.11913533732295,6441.326791632124,2282098.2125896486,1595,0.027712410164337474
1596,36061024700,MN,1562.613641,3227.463773,1008.303142,1927.118819,1611.746111,55.56166076,12538.07002,252,11.95396825,4.800210002,20.22921982,212.8113925,0.002634013,77.22,51,1002.9539140575722,0.001179907592208,0.00871245128413,0.005904674491224,0.025931880291965,0.022992860060185,5.54652079397e-4,0.090910237282515,1267.0350616626056,0.109379786252975,7056.605063492926,2736454.933006213,1596,0.027709816731770833
1597,36061016500,MN,4919.568284,3249.598884,685.8385419,2447.257042,883.7523252,847.1941772,897.4725206,168,16.97857143,8.547557293,5.706868365,68.71069512,9.02557e-4,23.71,34.45454545454545,788.8972893835883,7.1137955681e-5,0.008389340144479,0.004256560389573,0.024956059538656,0.031214072265559,5.37056592293e-4,0.321095953385035,2534.3291623293344,0.291898194286558,6286.355859178124,2199114.6634626193,1597,0.0108667871453424
1598,36047029000,BK,10147.56905,2822.772753,175.5482928,10026.09882,483.138488,2074.255793,18669.04007,106,13.61320755,6.029800209,8.481863667,84.54793889,0.0020597050000000002,73.3,54.81818181818182,440.63736831636766,0,0.020346503438694,0.001580300674375,0.038719472076212,0.018252956547907,0.00197251679908,0.04715781552451,994.0066933095766,0.049098958926541,5799.041459088481,1665073.4575352734,1598,0.020531311046624576
1599,36047029600,BK,9369.902229,2258.945451,89.21049043,9170.302831,406.0574284,1954.462216,19314.30414,99,9.743434343,3.800514509,12.14814038,121.0936972,0.0020597050000000002,80.66,51.36363636363637,178.8812929896195,0,0.017172201536596,0.001361732190061,0.033615143410861,0.017229065919916,0.002044931480971,0.044628377175993,2213.2503421379915,0.045510732010007,7396.971075188951,2300496.595457239,1599,0.02053131522550017
1600,36005002000,BX,9756.290101,2640.134964,339.9406991,6372.237026,4941.771931,1027.312282,1027.312282,526,10.95,5.696949058,22.62863065,362.2197235,0.002404998,94.21000000000001,74.81818181818181,364.0638539937675,0,0.008424233426066,0.002421717340541,0.015059945009211,4.27035689935e-4,0.001237931493152,0.087474829206864,2139.346153755014,0.084686933633159,8383.69839384506,4336906.333821037,1600,0.03849715416090976
1601,36047053100,BK,3324.429305,1057.464455,879.3443769,2764.891293,1098.836942,192.9516226,11142.83382,133,14.95864662,6.254042666,16.33736117,204.2712018,0.001784529,61.47,33,1691.8401579141719,0.001180002449213,0.007589480141178,0.008179096571569,0.02459420884649,0.024596101205264,0.001322139087798,0.040863691163915,2157.670820023297,0.035744917179857,5569.472442152231,1741715.68023715,1601,0.022312528869470234
1602,36085011202,SI,5820.494292,8932.159042,1456.632722,19687.99294,24785.44418,1153.910915,10259.030350000001,805,9.546086957,6.821970304,8.855153365,177.0389952,0.001616199,42.32,54.45454545454545,2482.4261753342626,3.0279463522e-5,7.80284362208e-4,0,0.003817766496684,0.001344635053165,0,0.066240885316633,347.58057780651626,0.075361183802174,19746.54488296643,21697571.88811907,1602,0.03231228238729695
1603,36047012100,BK,3520.825341,5639.698219,1088.230772,3376.884119,563.6158393,686.6885821,4724.0803320000005,114,12.36403509,4.627603351,1.315472955,21.16195623,6.51224e-4,18.279999999999998,20.727272727272727,1392.955435154439,4.73209598567e-4,0.008142415434122,0.001095139208095,0.015492863177011,0.01917026968052,0,0.089961143831412,1386.5064321343714,0.087113596498966,5142.25512509117,1593259.5145234193,1603,0.010476215955445544
