Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,meanSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,UHVI,GorceryDist
36047007000,BK,3088.674202,6733.491846,577.79759,4285.108282,1191.657677,96.83770142,14643.39798,10.93240741,4.562340338,55.86151236,0.00173539,0.021248198,72.24,56.18181818,1156.685332
36047032700,BK,4427.937916,3790.316868,220.4364229,586.6188022,1136.674023,879.6044808,1192.275699,15.7815534,5.813054026,55.86303197,0.002358237,0.022662488,76.58,50.45454545,388.9814188
36081027400,QN,9668.564624,5729.903403,1037.25892,2119.654537,7097.143097,495.2403813,14878.72396,7.764615385,4.849204119,55.91132349,0.003086699,0.035589639,24.63,59.81818182,1114.120516
36047061003,BK,2555.283912,1862.193629,574.935215,8489.545574,1530.829705,1457.848535,25729.47947,6.703125,6.780827968,55.96413609,0.003783944,0.031229987,85.23,42,307.5123718
36061014601,MN,2743.938746,1569.406253,431.4695797,1724.122592,266.702427,1372.427077,2802.005663,12.54047619,3.226531691,55.98987355,0.000755982,0.013118527,14.09,22.90909091,338.3854764
36047099400,BK,7301.179222,2945.224174,874.0209334,8285.908858,4031.564255,1618.905859,17278.235,5.353535354,5.520450313,56.22478438,0.002984027,0.030391775,25.04,44.63636364,2198.951318
36047025100,BK,4686.202923,1330.223646,1267.466789,723.473088,1315.906522,576.3520919,7879.075486,13.37328244,4.64045305,56.35679705,0.001313088,0.015947028,89.96,62.09090909,1760.178437
36047014200,BK,9175.828501,2180.164577,697.2462662,9141.634703,1705.801136,468.0046305,17780.66718,12.14146341,4.741130351,56.40447407,0.001720918,0.020473493,46.68,37,924.8543533
36047000301,BK,2319.458308,2867.824,938.4216684,5931.773462,1257.534942,0,11549.71072,14.56091371,6.260159334,56.40733042,0.001487327,0.013401599,14.48,33,750.3947038
36061004200,MN,1333.137332,4311.685771,574.0803011,1181.67552,781.1729316,1319.231382,12728.53742,14.61111111,3.256331122,56.47408545,0.000625977,0.010856226,33.46,20.45454545,713.6065266
36047030800,BK,3902.655678,4374.078369,1426.25227,4568.620425,1430.747146,1559.627889,23697.41866,11.06606061,3.483772069,56.55669583,0.0017524,0.028449042,77.01,65,2153.771894
36047116800,BK,12074.30386,4488.663798,289.5644659,1729.074023,795.6420382,481.8598157,1959.756323,10.69137931,5.01450876,56.57804306,0.002492301,0.0281203,85.98,27.27272727,480.6012107
36047096200,BK,3621.037456,3255.836743,1650.626041,4793.037375,2475.367573,1209.326306,14455.647,10.14653465,5.56222647,56.65026695,0.002984027,0.030391774,68.73,47.54545455,2207.230437
36081119100,QN,2517.684727,4546.116412,525.3495402,14490.37796,6602.823295,1177.090627,7411.656579,9.327368421,4.125007547,56.7193882,0.001380987,0.018988747,53.13,43.27272727,2212.03308
36081120500,QN,1612.868607,2659.691556,681.6252034,11383.10679,4692.060312,348.8352462,4257.499336,9.133663366,5.936282045,56.72447288,0.002160219,0.020642093,93.15,69.18181818,439.3995337
36047062000,BK,5933.831027,2465.11106,1980.156613,11741.04592,3514.448937,522.9355501,27284.27642,9.467142857,6.875007875,56.74143013,0.003783714,0.031228085,19.05,48.45454545,1935.733912
36081056600,QN,14947.57984,4446.060722,871.1558837,12730.62129,12854.22314,3052.31897,4940.401516,10.21885246,4.214968808,56.82402394,0.002758487,0.037188497,40.52,56.36363636,2005.069311
36061005000,MN,1326.728241,5465.918315,436.3552388,2345.97426,922.1374964,992.9953032,11036.35141,13.8721393,3.250667236,56.84027437,0.000624888,0.010926619,19.17,27.90909091,864.209309
36081147100,QN,14583.85249,5307.944585,279.7411838,19979.37462,18466.26042,803.7819195,803.7819195,10.46401274,6.342734887,56.86699442,0.002034884,0.018244143,52.78,42.27272727,2224.978001
