Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,SVI,UHVI,deaths,cases,DeathDensity,CaseDensity
36061028500,MN,5985.878407,2395.631352,428.4898327,2648.612025,779.8248014,620.7138679,10908.28895,73,14.57260274,4.632861495,430.8380129,0,0.01507257,0.003530747,0.034912192,0.023891158,92.76,43,21.82728705,247.7432138,0.002729434,0.030979519
36047036200,BK,2927.04401,1238.593612,303.9571506,6822.189364,752.2473083,1006.196439,26753.53956,118,8.181355932,3.518666928,278.4362159,0.00139902,0.022353716,0.001354575,0.035627406,0.022706094,87.74,55.54545455,12.44917783,102.7466683,0.003783945,0.03122999
36047073000,BK,4541.786222,9239.802605,552.2451156,5746.911667,5475.792114,1656.698594,13798.35971,118,8.772881356,3.494749689,1183.813654,0.000116751,0.006883631,0.003166916,0.012787001,5.50163E-06,41.24,56.09090909,4.745273586,63.84329819,0.00206137,0.027733839
36047073600,BK,2771.780144,7936.200729,631.323596,6380.369357,4574.308499,943.6588444,13426.54489,113,8.375221239,3.755603693,770.4916761,0.000716249,0.007632326,0.004230377,0.013090248,0.001082543,71.54,50.90909091,7.339092928,101.5362723,0.002110147,0.029193868
36061016002,MN,956.6006729,2264.84945,180.1775606,3132.095276,1082.449344,550.2145597,550.2145597,66,13.26515152,6.700022788,2513.483378,0.003282598,0.006220642,0.004922495,0.028825569,0.023639157,24.38,27.54545455,9.633903496,95.89069414,0.002695552,0.026830077
36047072600,BK,5591.682996,7169.423845,1529.977474,3330.149011,3796.119855,1099.646638,11374.33614,129,9.698449612,3.460558673,1683.368251,2.48566E-06,0.003931131,0.00475747,0.011669499,0.002500926,49.67,50.54545455,4.830061865,65.70957114,0.00214574,0.02919128
36047073200,BK,4239.826828,8022.329281,1641.485919,4966.193795,4262.41748,1370.469859,12644.69064,87,9.968965517,4.504966519,446.3352007,0.000155715,0.005975227,0.004248773,0.012224639,0.00149525,61.12,53.27272727,4.940078226,67.87397163,0.002097698,0.028821219
36061018600,MN,2766.04652,1982.901802,588.8791327,1218.110729,585.625414,185.1507492,687.5946273,176,20.25852273,8.150403046,643.4407225,0.001599922,0.010265673,0.025642839,0.0335163,0.029193132,99.46,66.90909091,9.503666306,156.5098662,0.00128776,0.021207299
36047069602,BK,9678.69306,7259.119184,2342.607078,9555.671481,8380.642405,557.5368959,18582.856,394,8.461167513,4.815717445,1879.849435,0,0.004137305,8.84395E-06,0.007255316,0,28.46,50.63636364,12.67374487,170.513598,0.002054758,0.027644876
36047070000,BK,10049.88226,8549.945987,1496.998998,11030.03294,9790.049733,1083.246196,19985.02215,122,8.331967213,3.591525066,1272.522089,0,0.002660845,0,0.005490966,0,26,61,3.331173951,44.81788626,0.00206137,0.027733841
36085002100,SI,2884.937307,2824.258722,927.2115686,401.917812,13851.15493,2338.781398,22509.70189,747,10.17563588,6.833280468,624.6429285,0.000714158,0.004293043,0.01424347,0.005729999,0.0037468,87.41,51.27272727,16.34799556,151.671017,0.004025608,0.037348194
36061012200,MN,2809.871781,3832.048531,1220.679459,1641.03451,1140.729777,530.9132119,530.9132119,149,11.32080537,4.522231498,1697.015661,0.001945972,0.007120326,0.005256867,0.030748324,0.067060755,15.5,50.45454545,2.844131598,38.77413976,0.001114035,0.015187677
36005023502,BX,3297.53605,1525.254647,493.0865332,1077.697036,453.0519869,489.3990877,3252.504571,98,12.47653061,5.090780043,787.1605518,0.000902573,0.007743799,0.019756359,0.037401459,0.027197215,98.42,72.45454545,10.685793,145.5934476,0.00255641,0.034830968
36005038100,BX,2887.014694,2208.143559,847.5520976,1235.030781,1276.394313,563.01596,3389.844575,214,13.28364486,7.104271266,927.6035209,0.000986267,0.00760523,0.020725866,0.038112834,0.02505412,96.66,54.18181818,17.66299955,240.6467945,0.00255652,0.034830915
36081038301,QN,6666.099986,4687.043946,2161.939649,5138.280252,2502.692957,1067.104152,1067.104152,163,11.81288344,4.185397119,2067.03732,0,0.006264945,0.001037666,0.019859749,0.008697437,,,0,0,,
36047114201,BK,9602.243825,878.9109091,1508.664118,1618.44178,688.7925676,688.3722078,1907.641976,174,9.354022989,4.046272947,2506.986381,0,0.002889743,0.00870297,0.009196606,0.018773901,90.83,66.45454545,4.026932361,45.5867841,0.002368784,0.026815755
36081118900,QN,869.5188309,2860.737579,755.6701957,12799.08216,4954.970804,1720.142171,5767.345694,107,10.04579439,2.547632285,2581.09338,0.001435576,0.005076704,0.004472237,0.017602907,0.000652472,46.72,32.36363636,4.659592122,44.52499139,0.002160219,0.020642092
36081120100,QN,928.5897337,2830.31894,959.7165548,12442.38202,4999.396916,1135.903001,5129.338253,97,9.013402062,2.80136235,1522.865458,0.001698956,0.003558106,0.004461017,0.01518261,0.000664606,69.19,49.90909091,3.346178818,31.9745976,0.002160219,0.02064209
