Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36047114201","14000US36047114201","Census Tract 1142.01","Census Tract 1142.01, Kings County, New York","ny","140","00","ACSSF","0005212",,,,,"36","047",,,,"114201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,526,397,0,32,0,622,123
"36047114202","14000US36047114202","Census Tract 1142.02","Census Tract 1142.02, Kings County, New York","ny","140","00","ACSSF","0005213",,,,,"36","047",,,,"114202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013,1053,1191,0,0,1,635,133
"36047114400","14000US36047114400","Census Tract 1144","Census Tract 1144, Kings County, New York","ny","140","00","ACSSF","0005214",,,,,"36","047",,,,"114400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,521,1346,0,13,4,384,126
"36047114600","14000US36047114600","Census Tract 1146","Census Tract 1146, Kings County, New York","ny","140","00","ACSSF","0005215",,,,,"36","047",,,,"114600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066,757,876,12,226,0,1017,178
"36047115000","14000US36047115000","Census Tract 1150","Census Tract 1150, Kings County, New York","ny","140","00","ACSSF","0005216",,,,,"36","047",,,,"115000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,435,1387,188,27,0,683,92
"36047115200","14000US36047115200","Census Tract 1152","Census Tract 1152, Kings County, New York","ny","140","00","ACSSF","0005217",,,,,"36","047",,,,"115200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,278,1911,0,88,0,644,159
"36047115600","14000US36047115600","Census Tract 1156","Census Tract 1156, Kings County, New York","ny","140","00","ACSSF","0005218",,,,,"36","047",,,,"115600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,331,2894,29,16,0,477,88
"36047115800","14000US36047115800","Census Tract 1158","Census Tract 1158, Kings County, New York","ny","140","00","ACSSF","0005219",,,,,"36","047",,,,"115800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,268,1952,21,1,0,534,62
"36047116000","14000US36047116000","Census Tract 1160","Census Tract 1160, Kings County, New York","ny","140","00","ACSSF","0005220",,,,,"36","047",,,,"116000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,210,1786,4,0,0,219,16
"36047116200","14000US36047116200","Census Tract 1162","Census Tract 1162, Kings County, New York","ny","140","00","ACSSF","0005221",,,,,"36","047",,,,"116200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,94,1854,24,62,44,83,138
"36047116400","14000US36047116400","Census Tract 1164","Census Tract 1164, Kings County, New York","ny","140","00","ACSSF","0005222",,,,,"36","047",,,,"116400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495,519,2464,0,78,0,411,23
"36047116600","14000US36047116600","Census Tract 1166","Census Tract 1166, Kings County, New York","ny","140","00","ACSSF","0005223",,,,,"36","047",,,,"116600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,663,1661,0,0,60,427,93
"36047116800","14000US36047116800","Census Tract 1168","Census Tract 1168, Kings County, New York","ny","140","00","ACSSF","0005224",,,,,"36","047",,,,"116800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,696,725,49,28,0,358,156
"36047117000","14000US36047117000","Census Tract 1170","Census Tract 1170, Kings County, New York","ny","140","00","ACSSF","0005225",,,,,"36","047",,,,"117000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,575,671,0,84,0,483,47
"36047117201","14000US36047117201","Census Tract 1172.01","Census Tract 1172.01, Kings County, New York","ny","140","00","ACSSF","0005226",,,,,"36","047",,,,"117201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,680,464,0,94,37,1260,127
